Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Bakutou Sengen Daigunder,6.67,"Sci-Fi, Adventure, Mecha",TV,39,"Apr 5, 2002 to Dec 27, 2002",Spring 2002,"TV Tokyo, Victor Entertainment",Unknown,Nippon Animation,Original,21 min. per ep.,PG - Children,5039.0,8499,2290,12,104,1440,175
Kinnikuman,7.22,"Adventure, Comedy, Sports, Shounen",TV,137,"Apr 3, 1983 to Oct 1, 1986",Spring 1983,Nippon Television Network,Unknown,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2684.0,5235,8498,61,617,3081,703
Kinnikuman (Movie),6.33,"Action, Comedy, Sports, Shounen",Movie,1,"Jul 14, 1984",Unknown,Unknown,Unknown,Toei Animation,Unknown,48 min.,PG-13 - Teens 13 or older,6742.0,10420,1014,2,37,453,69
Kinnikuman: Ooabare! Seigi Choujin,6.19,"Action, Comedy, Sports, Shounen",Movie,1,"Dec 22, 1984",Unknown,Unknown,Unknown,Toei Animation,Unknown,48 min.,PG-13 - Teens 13 or older,7409.0,11100,758,0,33,314,62
Kinnikuman: Seigi Choujin vs. Kodai Choujin,6.13,"Action, Comedy, Sports, Shounen",Movie,1,"Mar 16, 1985",Unknown,Unknown,Unknown,Toei Animation,Manga,45 min.,PG-13 - Teens 13 or older,7676.0,11524,634,0,23,260,55
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,6.18,"Action, Comedy, Sports, Shounen",Movie,1,"Jul 13, 1985",Unknown,Unknown,Unknown,Toei Animation,Manga,39 min.,PG-13 - Teens 13 or older,7460.0,11558,631,0,22,255,57
Kinnikuman: Haresugata! Seigi Choujin,6.0,"Action, Comedy, Sports, Shounen",Movie,1,"Dec 21, 1985",Unknown,Unknown,Unknown,Toei Animation,Unknown,1 hr.,PG-13 - Teens 13 or older,8219.0,11777,574,0,24,210,58
Kinnikuman: New York Kiki Ippatsu!,6.2,"Action, Comedy, Sports, Shounen",Movie,1,"Mar 15, 1986",Unknown,Unknown,Unknown,Toei Animation,Unknown,45 min.,PG-13 - Teens 13 or older,7339.0,11670,599,0,26,222,58
Kinnikuman: Seigi Choujin vs. Senshi Choujin,6.11,"Action, Comedy, Sports, Shounen",Movie,1,"Dec 20, 1986",Unknown,Unknown,Unknown,Toei Animation,Manga,50 min.,PG-13 - Teens 13 or older,7773.0,11771,575,0,26,216,55
Kinnikuman: Kinnikusei Oui Soudatsu-hen,6.71,"Action, Comedy, Sports, Shounen",TV,46,"Oct 6, 1991 to Sep 27, 1992",Fall 1991,Nippon Television Network,Unknown,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,4866.0,8707,2099,10,84,952,127
Himitsu no Akko-chan,6.3,"Magic, School, Shoujo",TV,94,"Jan 6, 1969 to Oct 26, 1970",Winter 1969,Unknown,Unknown,Toei Animation,Unknown,24 min. per ep.,G - All Ages,6905.0,8628,2176,5,97,721,167
Vampiyan Kids,6.51,"Fantasy, Comedy, Kids",TV,23,"Oct 13, 2001 to Mar 30, 2002",Fall 2001,Fuji TV,Unknown,Production I.G,Original,23 min. per ep.,G - All Ages,12757.0,11023,783,2,53,179,90
Gasshin Sentai Mechander Robo,5.88,"Space, Mecha, Military, Mystery, Sci-Fi",TV,35,"Mar 3, 1977 to Dec 29, 1977",Spring 1977,Wako Productions,Unknown,Unknown,Unknown,23 min. per ep.,PG-13 - Teens 13 or older,8599.0,11405,669,3,41,182,85
Yatterman,6.6,"Adventure, Comedy, Parody",TV,60,"Jan 14, 2008 to May 11, 2009",Winter 2008,Unknown,Unknown,Tatsunoko Production,Unknown,25 min. per ep.,G - All Ages,5367.0,7337,3643,7,215,1105,409
Aria the Origination,8.53,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV,13,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,"TV Tokyo, Shochiku, Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,24 min. per ep.,G - All Ages,89.0,1415,98196,3612,3671,30863,2471
Hatenkou Yuugi,7.16,"Adventure, Comedy, Drama, Romance, Fantasy, Josei",TV,10,"Jan 5, 2008 to Mar 8, 2008",Winter 2008,"Frontier Works, Sotsu",Sentai Filmworks,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2944.0,2791,33810,192,1427,18849,1829
H2O: Footprints in the Sand,7.06,"Harem, Romance, School",TV,12,"Jan 4, 2008 to Mar 21, 2008",Winter 2008,"NTT Docomo, Studio Jack",Kadokawa Pictures USA,Zexcs,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,3397.0,1572,85935,421,2774,55824,3947
Muteki Koujin Daitarn 3,7.08,"Mecha, Sci-Fi",TV,40,"Jun 3, 1978 to Mar 31, 1979",Summer 1978,Sotsu,Unknown,Sunrise,Original,25 min. per ep.,PG - Children,3320.0,8157,2615,10,165,1018,151
Dr. Slump,7.0,"Slice of Life, Comedy, Sci-Fi, Shounen",TV,74,"Nov 26, 1997 to Sep 22, 1999",Fall 1997,Fuji TV,Unknown,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,3645.0,4226,14465,51,553,7691,1324
Montana Jones,6.91,"Adventure, Mystery, Comedy, Historical",TV,52,"Apr 2, 1994 to Apr 8, 1995",Spring 1994,NHK,Unknown,Studio Junio,Original,23 min. per ep.,G - All Ages,4010.0,9638,1461,5,55,747,133
Kikou Keisatsu Metal Jack,6.28,"Action, Sci-Fi, Police, Mecha",TV,37,"Apr 8, 1991 to Dec 23, 1991",Spring 1991,TV Tokyo,Unknown,Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,6991.0,10746,877,1,48,193,80
Uchuusen Sagittarius,6.8,"Sci-Fi, Adventure",TV,77,"Jan 10, 1986 to Oct 3, 1987",Winter 1986,Unknown,Unknown,Nippon Animation,Picture book,24 min. per ep.,PG - Children,4456.0,10561,957,7,65,315,99
Wagaya no Oinari-sama.,7.22,"Adventure, Fantasy, Shounen, Supernatural",TV,24,"Apr 7, 2008 to Sep 15, 2008",Spring 2008,"Kadokawa Shoten, NTT Docomo","NIS America, Inc.",Zexcs,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,2704.0,3018,29122,84,1928,13116,1894
Yuusha Exkaiser,6.53,"Action, Mecha, Sci-Fi, Shounen",TV,48,"Feb 3, 1990 to Jan 26, 1991",Winter 1990,Nagoya Broadcasting Network,Unknown,Sunrise,Original,24 min. per ep.,G - All Ages,5729.0,9217,1718,8,129,494,129
Inaka Isha,6.71,"Dementia, Drama, Historical, Psychological",Movie,1,"Oct 2, 2007",Unknown,"Shochiku, Yamamura Animation, Inc.",Unknown,Studio Deen,Other,21 min.,PG-13 - Teens 13 or older,4849.0,3949,16818,54,262,9545,98
Giant Gorg,7.12,"Action, Adventure, Mecha, Sci-Fi",TV,26,"Apr 5, 1984 to Sep 27, 1984",Spring 1984,Unknown,Discotek Media,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,3112.0,6983,4143,23,271,952,141
Stop!! Hibari-kun!,7.0,"Comedy, Shounen",TV,35,"May 20, 1983 to Jan 27, 1984",Spring 1983,Unknown,Unknown,Toei Animation,Manga,24 min. per ep.,R+ - Mild Nudity,3649.0,6296,5353,29,584,868,263
Haikara-san ga Tooru,7.16,"Drama, Historical, Romance, Shoujo, Slice of Life",TV,42,"Jun 3, 1978 to Mar 31, 1979",Summer 1978,Asahi Broadcasting,Unknown,Nippon Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2936.0,7017,4091,11,251,729,188
