Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Hal,7.48,"Sci-Fi, Drama, Romance, Shoujo",Movie,1,"Jun 8, 2013",Unknown,"Production I.G, Shochiku, Pony Canyon",Funimation,Wit Studio,Original,1 hr.,PG-13 - Teens 13 or older,1630.0,1303,110131,331,2240,72495,553
Ojamanga Yamada-kun,6.51,"Comedy, Slice of Life",TV,103,"Sep 28, 1980 to Oct 10, 1982",Fall 1980,"Asatsu DK, Tsuchida Productions",Unknown,Unknown,Unknown,25 min. per ep.,Unknown,11298.0,11919,546,3,33,164,82
Heong-geuli Beseuteu 5,6.51,Sports,Movie,1,"Dec 23, 1995",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 30 min.,G - All Ages,14383.0,14524,222,0,11,58,44
Dallyeola Majing-ga-X,6.51,"Mecha, Sci-Fi",Movie,1,1978,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 17 min.,Unknown,13751.0,14678,211,0,5,74,43
Hong Kil-dong,6.51,"Adventure, Fantasy, Historical",Movie,1,"Jan 21, 1967",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 10 min.,G - All Ages,14474.0,13575,293,1,14,96,61
Cheol-in 007,6.51,"Action, Mecha, Sci-Fi",Movie,1,1976,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 10 min.,PG - Children,13595.0,14454,227,0,7,101,40
Hwanggeum Nalgae 1.2.3.,6.51,"Action, Mecha, Sci-Fi",Movie,1,"Jan 5, 1978",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr.,G - All Ages,14546.0,13451,303,1,13,125,42
Robot Taekwon V: Wooju Jakjeon,6.51,"Action, Mecha, Sci-Fi",Movie,1,"Dec 13, 1976",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr.,PG - Children,11743.0,14039,257,0,12,89,45
84 Taekwon V,5.2,"Action, Mecha, Sci-Fi",Movie,1,"Aug 3, 1984",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 18 min.,PG - Children,10333.0,12636,410,2,13,192,68
Robot Taekwon V 3tan! Sujung Teukgongdae,6.51,"Action, Mecha, Sci-Fi",Movie,1,"Jul 20, 1977",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr.,PG - Children,11736.0,14191,245,0,11,80,47
Super Taekwon V,6.51,"Action, Sci-Fi, Mecha",Movie,1,"Jul 30, 1982",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 20 min.,PG - Children,12290.0,14279,241,0,14,89,49
Agigongryong Doolie (Movie),6.51,Kids,Movie,1,"Jul 24, 1996",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 20 min.,PG - Children,13217.0,13152,335,2,8,154,67
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.29,"Mystery, Horror, Psychological, School",TV,13,"Jul 5, 2013 to Sep 27, 2013",Summer 2013,"Geneon Universal Entertainment, Studio Hibari, Mainichi Broadcasting System, Showgate",Funimation,Lerche,Game,24 min. per ep.,R - 17+ (violence & profanity),2387.0,137,689579,8226,25858,515794,19032
Robot King,6.51,"Action, Mecha",Movie,1,1980,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 5 min.,Unknown,11735.0,14660,215,0,10,83,36
Pro Golfer Saru (TV),6.51,"Sports, Kids",TV,143,"Apr 2, 1985 to Mar 28, 1988",Spring 1985,TV Asahi,Unknown,Shin-Ei Animation,Unknown,20 min. per ep.,PG - Children,11616.0,13475,304,1,13,95,60
Kaze Tachinu,8.12,"Drama, Historical, Romance",Movie,1,"Jul 20, 2013",Unknown,Nichion,Walt Disney Studios,Studio Ghibli,Manga,2 hr. 6 min.,PG-13 - Teens 13 or older,392.0,706,207697,1892,3178,151546,624
Kaguya-hime no Monogatari,8.23,"Fantasy, Historical",Movie,1,"Nov 23, 2013",Unknown,Unknown,GKIDS,Studio Ghibli,Other,2 hr. 17 min.,G - All Ages,280.0,1017,147146,1547,2539,94381,572
Kakumeiki Valvrave,7.17,"Action, Military, Space, Mecha",TV,12,"Apr 12, 2013 to Jun 28, 2013",Spring 2013,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",Aniplex of America,Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),2915.0,1036,143653,702,7232,87537,6339
Pokemon: Pikachu to Eievui Friends,6.81,"Adventure, Comedy, Fantasy, Kids",Movie,1,"Jul 13, 2013",Unknown,Unknown,The Pokemon Company International,OLM,Game,21 min.,PG - Children,4412.0,5497,7533,3,82,5687,110
Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,6.35,"Action, Adventure, Comedy, Kids, Fantasy",Movie,1,"Jul 13, 2013",Unknown,Unknown,The Pokemon Company International,OLM,Game,1 hr. 10 min.,PG - Children,6622.0,2923,31083,44,203,27127,185
2020 Nyeon Ujuui Wonder Kiddy,6.51,"Sci-Fi, Space",TV,13,1989,Unknown,Unknown,Unknown,Unknown,Unknown,24 min. per ep.,PG - Children,13177.0,12688,397,2,14,148,78
Kami nomi zo Shiru Sekai: Megami-hen,8.08,"Harem, Comedy, Supernatural, Romance, Shounen",TV,12,"Jul 9, 2013 to Sep 24, 2013",Summer 2013,"TV Tokyo, Geneon Universal Entertainment, Shogakukan, Imagine",Sentai Filmworks,Manglobe,Manga,24 min. per ep.,PG-13 - Teens 13 or older,445.0,519,274320,1861,8746,212006,4013
gdgd Fairies 2,6.94,"Comedy, Fantasy",TV,12,"Jan 10, 2013 to Mar 28, 2013",Winter 2013,"Strawberry Meets Pictures, Bouncy",Unknown,Unknown,Original,15 min. per ep.,PG - Children,3839.0,8697,2110,15,96,1362,155
Tatakae!! Ramenman (Movie),5.88,"Action, Adventure, Martial Arts, Shounen",Movie,1,"Jul 9, 1988",Unknown,Unknown,Unknown,Toei Animation,Manga,25 min.,PG-13 - Teens 13 or older,8614.0,12277,473,1,16,189,46
Ojamanga Yamada-kun (Movie),6.51,"Slice of Life, Comedy",Movie,1,"Mar 14, 1981",Unknown,Kadokawa Shoten,Unknown,Unknown,Unknown,27 min.,Unknown,11278.0,13088,342,0,18,131,47
Kiniro Mosaic,7.26,"Slice of Life, Comedy, School, Seinen",TV,12,"Jul 6, 2013 to Sep 21, 2013",Summer 2013,"Media Factory, Showgate",Sentai Filmworks,Studio Gokumi,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,2530.0,961,153668,890,10022,69795,7724
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7.04,"Slice of Life, Comedy, School",TV,12,"Jul 9, 2013 to Sep 24, 2013",Summer 2013,"TV Tokyo, Media Factory, MediaNet, AT-X, DAX Production, Sony Music Communications, Bushiroad, Good Smile Company, NichiNare",Sentai Filmworks,SILVER LINK.,Web manga,24 min. per ep.,PG-13 - Teens 13 or older,3514.0,227,510608,4673,28905,320109,38331
Narara! Ujujeonham Geobukseon,6.51,"Action, Sci-Fi, Space, Shounen",Movie,1,"Jul 26, 1979",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 7 min.,PG - Children,11069.0,14605,217,0,7,68,43
Kuiba: Zhi Shiwanhuoji,6.49,"Action, Kids, Adventure, Fantasy",Movie,1,"Jul 8, 2011",Unknown,Vasoon Animation,Unknown,Unknown,Original,1 hr. 30 min.,G - All Ages,5955.0,10656,912,1,41,389,37
Hurdle,6.51,Drama,Movie,1,"Jan 15, 2005",Unknown,"Magic Bus, Cinema Tohoku",Unknown,Unknown,Unknown,1 hr. 30 min.,Unknown,14538.0,13680,282,0,15,56,40
Gold Pencil And Alien Boy,6.51,"Kids, Adventure, Space",Movie,1,"Aug 13, 1983",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 5 min.,Unknown,14164.0,14517,225,0,9,89,37
Kotonoha no Niwa,8.05,"Slice of Life, Psychological, Drama, Romance",Movie,1,"May 31, 2013",Unknown,"The Answer Studio, TOHO animation",Sentai Filmworks,CoMix Wave Films,Original,46 min.,PG-13 - Teens 13 or older,484.0,192,574997,5579,10485,431644,956
Bulsajo Robot Phoenix King,4.9,"Action, Space, Mecha, Shounen",Movie,1,1984,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 6 min.,PG - Children,10662.0,12641,408,1,10,227,36
Computer Haekjeonham Pokpa Daejakjeon,5.17,"Action, Sci-Fi, Shounen",Movie,1,1983,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 8 min.,G - All Ages,10378.0,12869,371,1,10,189,35
Ttori wa Zeta Robot,6.51,"Action, Adventure, Kids, Mecha",Movie,1,"Jan 17, 1985",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 2 min.,Unknown,12644.0,12091,508,0,17,183,47
Golden Batman,4.51,"Action, Kids",Movie,1,1979,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 10 min.,G - All Ages,10921.0,10586,946,3,28,388,53
Solar I.II.III,6.51,"Action, Mecha, Shounen",Movie,1,"Dec, 1982",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 15 min.,Unknown,12112.0,13904,266,0,18,86,51
Super Titans 15,6.51,"Action, Mecha, Shounen",Movie,1,1982,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 10 min.,Unknown,12263.0,14831,203,2,9,75,40
Hwanggeum Cheolin,6.51,"Action, Kids, Adventure, Super Power, Demons",Movie,1,"Jul 25, 1968",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 20 min.,PG - Children,14546.0,14051,258,0,10,101,58
Narara Wonder Gongju,6.51,"Action, Sci-Fi, Adventure, Space, Super Power",Movie,1,"Jul 31, 1978",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 20 min.,PG-13 - Teens 13 or older,11088.0,14381,233,0,14,61,47
77Danui Bimil,5.23,"Action, Drama",Movie,1,1978,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 9 min.,PG-13 - Teens 13 or older,10270.0,12814,378,0,11,170,67
Son O-gong gwa Byeoldeul-ui Jeonjaeng,6.51,"Action, Adventure, Space",Movie,1,1978,Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 7 min.,G - All Ages,12123.0,14294,237,0,11,74,49
Eunhahamdae Jiguho,6.51,"Action, Kids, Adventure, Space, Sci-Fi",Movie,1,"Jul 22, 1979",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 20 min.,Unknown,13936.0,14652,215,0,10,71,49
Uju Heukgisa,4.49,"Action, Sci-Fi, Space",Movie,1,"Aug 2, 1979",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 10 min.,PG - Children,10929.0,11197,733,3,22,412,48
Hokseong Robot Sseondeo A,6.51,"Action, Mecha, Shounen",Movie,1,"Jan 5, 1982",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 15 min.,Unknown,14462.0,14488,226,0,16,78,38
The Last: Naruto the Movie,7.76,"Action, Super Power, Romance, Martial Arts, Shounen",Movie,1,"Dec 6, 2014",Unknown,"TV Tokyo, Shueisha",VIZ Media,Studio Pierrot,Manga,1 hr. 52 min.,PG-13 - Teens 13 or older,907.0,384,352160,1592,4539,319967,677
Makai Ouji: Devils and Realist,7.06,"Mystery, Comedy, Historical, Demons, Supernatural, Fantasy, School, Josei",TV,12,"Jul 8, 2013 to Sep 23, 2013",Summer 2013,"TV Tokyo, Sotsu",Sentai Filmworks,Doga Kobo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3407.0,1431,96785,409,6169,48726,6472
Kuroko no Basket 2nd Season,8.28,"Comedy, Sports, School, Shounen",TV,25,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,"Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",Unknown,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older,242.0,185,588404,4333,23907,497022,5733
K: Missing Kings,7.7,"Action, Super Power, Supernatural",Movie,1,"Jul 12, 2014",Unknown,"Starchild Records, Mainichi Broadcasting System, KlockWorx, Glovision",VIZ Media,GoHands,Original,1 hr. 13 min.,PG-13 - Teens 13 or older,1029.0,711,205323,630,4443,144088,1492
Line Offline: Salaryman,6.59,Comedy,TV,114,"Jan 8, 2013 to Oct 1, 2013",Winter 2013,"TV Tokyo, Shogakukan-Shueisha Productions, Half H.P Studio",Unknown,Shogakukan Music & Digital Entertainment,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,5456.0,9254,1701,6,202,508,298
Ganbare! Oden-kun,6.51,Comedy,TV,102,"Jan 12, 2013 to Dec 27, 2014",Winter 2013,Sotsu,Unknown,Kachidoki Studio,Picture book,3 min. per ep.,G - All Ages,14067.0,14128,250,2,17,59,65
Namiuchigiwa no Muromi-san,6.97,"Slice of Life, Comedy, Fantasy, Shounen",TV,13,"Apr 7, 2013 to Jun 30, 2013",Spring 2013,"Starchild Records, Studio Tulip, Half H.P Studio",Unknown,Tatsunoko Production,Manga,13 min. per ep.,PG-13 - Teens 13 or older,3754.0,2663,36687,57,1967,20744,1832
Gin no Saji,8.11,"Comedy, School, Shounen, Slice of Life",TV,11,"Jul 12, 2013 to Sep 20, 2013",Summer 2013,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",Aniplex of America,A-1 Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older,396.0,628,231006,2389,10658,131106,6882
Hayate no Gotoku! Cuties,7.05,"Comedy, Harem, Parody, Romance, Shounen",TV,12,"Apr 9, 2013 to Jul 2, 2013",Spring 2013,TV Tokyo,Sentai Filmworks,Manglobe,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3464.0,2625,37759,60,1442,23772,1167
Monogatari Series: Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,24 min. per ep.,R - 17+ (violence & profanity),29.0,232,509401,19644,34059,336572,5433
Chagama Ondo,5.07,"Comedy, Supernatural",Movie,1,"Mar 19, 1935",Unknown,Unknown,Unknown,Unknown,Original,6 min.,G - All Ages,10540.0,10834,850,0,22,651,50
Soukyuu no Fafner: Dead Aggressor - Exodus,7.39,"Action, Drama, Mecha, Military, Sci-Fi",TV,13,"Jan 9, 2015 to Apr 3, 2015",Winter 2015,"Starchild Records, Mainichi Broadcasting System",Unknown,"Xebec, I.Gzwei",Original,24 min. per ep.,PG-13 - Teens 13 or older,1933.0,3750,18818,71,1153,8308,867
Aiura,6.69,"Comedy, School, Shounen, Slice of Life",TV,12,"Apr 10, 2013 to Jun 26, 2013",Spring 2013,"Pony Canyon, Tohokushinsha Film Corporation",Unknown,LIDENFILMS,4-koma manga,4 min. per ep.,G - All Ages,4929.0,1821,69699,157,2522,41863,1907
Agigongryong Doolie (1988),6.51,Kids,TV,7,"May 5, 1988",Spring 1988,Unknown,Unknown,Unknown,Unknown,15 min. per ep.,PG - Children,13204.0,13221,325,0,9,139,78
Agigongryong Doolie,6.25,"Adventure, Kids",TV,6,"Oct 7, 1987",Fall 1987,Unknown,Unknown,Unknown,Unknown,15 min. per ep.,PG - Children,7106.0,12644,406,1,9,188,86
Agigongryong Doolie (2009),6.51,"Adventure, Kids",TV,26,"Jan 8, 2009 to Feb 7, 2009",Winter 2009,Unknown,Unknown,Unknown,Unknown,20 min. per ep.,PG - Children,13216.0,13300,320,1,11,125,85
Dallyeola Hani,6.67,Sports,TV,13,"Aug 14, 1988 to Nov 20, 1988",Summer 1988,KBS,Unknown,Daewon Media,Unknown,28 min. per ep.,G - All Ages,5051.0,11678,601,1,24,235,78
Nae Ireumeun Dokgotak,6.51,Sports,Movie,1,"Jul 15, 1984",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 10 min.,G - All Ages,15730.0,14825,205,1,11,64,54
Lolling Seutajeu,6.51,"Kids, Sports",TV,26,"Apr 15, 2009 to Oct 21, 2009",Spring 2009,Unknown,Unknown,Unknown,Unknown,26 min. per ep.,PG - Children,15327.0,14660,214,0,9,56,48
Wala! Pyeon-uijeom The Animation,6.51,Slice of Life,TV,24,"Oct 23, 2009 to Apr 2, 2010",Fall 2009,Unknown,Unknown,Unknown,Web manga,24 min. per ep.,G - All Ages,12768.0,14389,231,0,16,61,57
Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!,6.91,"Adventure, Comedy, Seinen",Movie,1,"Apr 20, 2013",Unknown,"TV Asahi, Asatsu DK",Unknown,Shin-Ei Animation,Manga,1 hr. 36 min.,G - All Ages,3988.0,8335,2444,0,48,1823,75
Pokemon Best Wishes! Season 2: Episode N,6.68,"Action, Adventure, Comedy, Kids, Fantasy",TV,14,"Jan 17, 2013 to Apr 18, 2013",Winter 2013,TV Tokyo,The Pokemon Company International,OLM,Game,22 min. per ep.,PG - Children,5016.0,2906,31492,100,503,25041,544
Aoi Kioku: Manmou Kaitaku to Shounen-tachi,6.51,"Drama, Historical, Military",Movie,1,"Dec 18, 1993",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 30 min.,PG-13 - Teens 13 or older,13300.0,12569,419,0,22,113,47
Dareka no Manazashi,7.39,"Drama, Slice of Life",Movie,1,"Feb 10, 2013",Unknown,The Answer Studio,Unknown,CoMix Wave Films,Original,6 min.,G - All Ages,1944.0,2070,57283,84,970,40134,154
Chokkyuu Hyoudai Robot Anime: Straight Title,5.85,"Comedy, Mecha",TV,12,"Feb 6, 2013 to Apr 24, 2013",Winter 2013,"Tsubasa Entertainment, Just Production",Unknown,Bouncy,Unknown,15 min. per ep.,PG-13 - Teens 13 or older,8680.0,8708,2094,4,138,697,384
Kara The Animation,5.45,Action,TV,5,"Mar 1, 2013",Winter 2013,NOTTV,Unknown,Unknown,Unknown,27 min. per ep.,PG-13 - Teens 13 or older,9802.0,10535,962,3,52,187,84
Gakkatsu! 2nd Season,6.44,"Comedy, School",TV,25,"Jan 16, 2013 to Sep 25, 2013",Winter 2013,NHK,Unknown,Fanworks,Unknown,5 min. per ep.,G - All Ages,6222.0,9257,1703,3,114,590,131
SF Saiyuuki Starzinger (Movie),5.62,"Adventure, Mecha, Sci-Fi, Shounen",Movie,1,"Mar 17, 1979",Unknown,Unknown,Unknown,Toei Animation,Unknown,22 min.,G - All Ages,9395.0,12078,515,0,24,240,40
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,7.47,"Sci-Fi, Police, Psychological, Mecha",Movie,1,"Jun 22, 2013",Unknown,"Bandai Visual, Dentsu, Kodansha, flying DOG, TOHO animation",Funimation,Production I.G,Manga,58 min.,R - 17+ (violence & profanity),1675.0,2190,52873,73,969,35353,275
Shouwa Ahozoushi Akanuke Ichiban!,6.51,"Comedy, Shoujo",TV,22,"Oct 7, 1985 to Mar 24, 1986",Fall 1985,TV Asahi,Unknown,Tatsunoko Production,Manga,25 min. per ep.,PG-13 - Teens 13 or older,12072.0,11309,700,2,37,151,76
Sore Ike! Anpanman: Dadandan to Futago no Hoshi,6.51,"Comedy, Kids",Movie,1,"Jul 4, 2009",Unknown,Unknown,Unknown,TMS Entertainment,Unknown,50 min.,PG - Children,12156.0,14575,220,0,10,82,54
Sore Ike! Anpanman: Happy no Daibouken,6.51,"Comedy, Kids",Movie,1,"Jul 16, 2005",Unknown,Unknown,Unknown,TMS Entertainment,Unknown,51 min.,PG - Children,12142.0,14603,216,0,10,85,56
Kankara Sanshin,6.51,"Drama, Historical",Movie,1,"Aug 4, 1989",Unknown,Tokyo Animation Film,Unknown,Unknown,Unknown,1 hr. 18 min.,PG - Children,14866.0,13412,307,0,17,53,41
Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,6.51,"Kids, Fantasy, Comedy",Movie,1,"Jul 13, 2002",Unknown,Unknown,Unknown,TMS Entertainment,Unknown,50 min.,PG - Children,12160.0,14050,256,0,9,114,54
Jib,6.42,"Kids, Drama, Fantasy",Movie,1,"Mar 17, 2011",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 22 min.,G - All Ages,6335.0,12154,492,0,17,189,32
Machine-Doll wa Kizutsukanai,7.15,"Action, Ecchi, Fantasy, School",TV,12,"Oct 7, 2013 to Dec 23, 2013",Fall 2013,"Genco, Media Factory, Kadokawa Shoten, Movic, AT-X, Showgate",Funimation,Lerche,Light novel,23 min. per ep.,R+ - Mild Nudity,3003.0,553,264089,658,13661,174310,9507
Pretty Rhythm: Rainbow Live,7.52,"Slice of Life, Sports, Music, Shoujo",TV,51,"Apr 6, 2013 to Mar 29, 2014",Spring 2013,TV Tokyo,Unknown,"Tatsunoko Production, Dongwoo A&E",Game,21 min. per ep.,PG - Children,1529.0,4910,9951,169,630,4717,583
Hanakappa Movie: Hanasake! Pakkaan♪ Chou no Kuni no Daibouken,6.51,"Comedy, Kids",Movie,1,"Apr 12, 2013",Unknown,Group TAC,Unknown,Unknown,Picture book,50 min.,PG - Children,14249.0,14482,225,1,11,71,47
Log Horizon,8.0,"Action, Game, Adventure, Magic, Fantasy",TV,25,"Oct 5, 2013 to Mar 22, 2014",Fall 2013,NHK,Sentai Filmworks,Satelight,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,538.0,91,872925,10085,54172,571062,35518
Futari wa Milky Holmes,5.8,"Mystery, Comedy, Super Power",TV,12,"Jul 13, 2013 to Sep 28, 2013",Summer 2013,"Sotsu, Nomad, Bushiroad, Chrono Gear Creative, Bushiroad Music",Unknown,J.C.Staff,Original,12 min. per ep.,PG-13 - Teens 13 or older,8827.0,5057,9293,12,369,4637,706
Captain Herlock,7.38,"Action, Sci-Fi, Space, Drama",Movie,1,"Sep 7, 2013",Unknown,"Toei Video, Marza Animation Planet, Sammy, Kinoshita Koumuten",Ketchup Entertainment,Toei Animation,Manga,1 hr. 55 min.,R - 17+ (violence & profanity),1967.0,2371,45770,165,683,36211,250
Jinzou Konchuu Kabutoborg VxV,6.17,"Action, Comedy, Fantasy, Game, Shounen",TV,52,"Oct 5, 2006 to Oct 11, 2007",Fall 2006,"Sony Pictures Entertainment, Studio Comet, G&G Entertainment, Nihon Ad Systems, Animax",Unknown,Unknown,Unknown,24 min. per ep.,G - All Ages,7491.0,11909,545,4,32,188,74
Shin Pro Golfer Saru,6.51,"Kids, Sports",TV,10,"Apr 11, 1988 to Jun 13, 1988",Spring 1988,TV Asahi,Unknown,Shin-Ei Animation,Unknown,15 min. per ep.,PG - Children,11981.0,14908,200,0,9,62,56
Ajin Senshi,6.09,"Fantasy, Sci-Fi",Movie,1,"Nov 17, 1990",Unknown,"Magic Bus, Tokuma Japan",Unknown,Unknown,Unknown,1 hr. 40 min.,PG-13 - Teens 13 or older,7841.0,9738,1390,0,58,317,97
Tenpou Suikoden Neo,5.23,Historical,TV,5,"Feb 28, 2013 to Mar 28, 2013",Winter 2013,Unknown,Unknown,Kachidoki Studio,Unknown,2 min. per ep.,PG-13 - Teens 13 or older,10287.0,10742,880,2,37,222,60
Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,6.78,"Fantasy, Kids, Magic, Shoujo",Movie,1,"Oct 26, 2013",Unknown,"Asahi Broadcasting, Kinoshita Group Holdings",Unknown,Toei Animation,Original,1 hr. 11 min.,G - All Ages,4522.0,7512,3420,6,71,2115,80
Imokawa Mukuzo: Genkanban no Maki,5.38,Comedy,Movie,1,"Jan, 1917 to ?",Unknown,Unknown,Unknown,Unknown,Original,5 min.,G - All Ages,9981.0,11543,639,2,26,334,89
Kingdom 2nd Season,8.39,"Action, Military, Historical, Seinen",TV,39,"Jun 8, 2013 to Mar 2, 2014",Summer 2013,NHK,Funimation,Studio Pierrot,Manga,25 min. per ep.,R - 17+ (violence & profanity),161.0,1675,79350,698,4223,47556,1323
Pink Lady Monogatari: Eikou no Tenshi-tachi,6.51,"Music, Slice of Life, Drama",TV,33,"Oct 24, 1978 to Jun 12, 1979",Fall 1978,Unknown,Unknown,Toei Animation,Other,25 min. per ep.,G - All Ages,11551.0,13080,346,0,22,62,56
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,7.6,"Music, Comedy, Drama",Movie,1,"Jan 25, 2014",Unknown,"Aniplex, TBS, Rakuonsha, Nippon Columbia, Banpresto, Bandai Namco Entertainment",Unknown,A-1 Pictures,Game,2 hr. 1 min.,PG-13 - Teens 13 or older,1263.0,3634,20355,68,417,12764,156
Kyojin no Hoshi (Movie),6.51,"Drama, Sports",Movie,1,"Aug 21, 1982",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 50 min.,G - All Ages,15240.0,13527,298,0,9,90,53
Kyojin no Hoshi: Chizome no Kesshousen,6.51,"Drama, Sports",Movie,1,"Jul 26, 1969",Unknown,Tokyo Movie Shinsha,Unknown,Unknown,Unknown,1 hr. 30 min.,G - All Ages,15241.0,13396,311,0,11,86,66
Kyojin no Hoshi: Ike Ike Hyuuma,6.51,"Drama, Sports",Movie,1,"Dec 20, 1969",Unknown,Tokyo Movie Shinsha,Unknown,Unknown,Unknown,1 hr. 10 min.,G - All Ages,15245.0,13446,306,0,11,86,65
Kyojin no Hoshi: Dai League Ball,6.51,"Drama, Sports",Movie,1,"Mar 21, 1970",Unknown,Tokyo Movie Shinsha,Unknown,Unknown,Unknown,1 hr. 10 min.,G - All Ages,15241.0,13337,314,0,12,88,65
Kyojin no Hoshi: Shukumei no Taiketsu,6.51,"Drama, Sports",Movie,1,"Aug 1, 1970",Unknown,Tokyo Movie Shinsha,Unknown,Unknown,Unknown,1 hr.,G - All Ages,15249.0,13906,267,1,14,62,59
Chingou Muchabee,6.51,"Adventure, Comedy",TV,51,"Feb 15, 1971 to Mar 22, 1971",Winter 1971,"Tokyo Movie Shinsha, TBS",Unknown,Unknown,Unknown,14 min. per ep.,G - All Ages,13643.0,14099,254,0,13,62,72
Otoko Ippiki Gaki Daishou,6.51,"Action, Drama, Shounen",TV,156,"Sep 29, 1969 to Mar 28, 1970",Fall 1969,AT-X,Unknown,Unknown,Unknown,10 min. per ep.,PG-13 - Teens 13 or older,11408.0,11336,687,2,55,109,87
Kouchuu Ouja Mushiking: Greatest Champion e no Michi,6.51,Game,Movie,1,"Dec 17, 2005",Unknown,Unknown,Unknown,TMS Entertainment,Card game,50 min.,G - All Ages,15169.0,13694,281,0,17,92,38
Bad Badtz-Maru no Ore no Pochi wa Sekaiichi,6.51,Kids,Movie,1,"Jan 13, 1996",Unknown,Sanrio,Unknown,Unknown,Unknown,13 min.,G - All Ages,13388.0,14077,253,0,9,98,42
Tantei Shounen Kageman,6.51,"Comedy, Mystery",TV,39,"Apr 10, 2001 to Jan 16, 2002",Spring 2001,Unknown,Unknown,Studio Hibari,Unknown,11 min. per ep.,G - All Ages,12396.0,14606,218,0,23,45,45
Kero Kero Keroppi no Daibouken: Fushigi na Mame no Ki,6.51,"Adventure, Comedy, Kids",Movie,1,"Jul 21, 1990",Unknown,Sanrio,Unknown,Unknown,Unknown,23 min.,G - All Ages,14964.0,14222,243,0,12,103,39
Ashita Genki ni Nare!: Hanbun no Satsumaimo,6.4,Drama,Movie,1,"Jun 30, 2005",Unknown,"AYCO, Studio Kelmadick",Unknown,Unknown,Novel,1 hr. 29 min.,Unknown,6405.0,11249,717,1,29,201,47
Jewelpet Happiness,6.7,"Fantasy, Magic, Shoujo",TV,52,"Apr 6, 2013 to Mar 29, 2014",Spring 2013,"TV Tokyo, Sotsu, Sanrio",Unknown,Studio Comet,Original,24 min. per ep.,PG - Children,4892.0,8217,2557,16,178,861,209
