Name,Score,Genres,English name,Type,Month Aired,Year Aired,Duracion_min,Episodes,Premiered,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,6.86,"['Comedy', 'Romance', 'Ecchi', 'School']",Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,Special,Dec,2011,26,1,Winter,Doga Kobo,Visual novel,R,4206.0,3203,26179,6,426,20785,152
Cross Fight B-Daman,6.39,"['Game', 'Kids']",B-Daman Crossfire,TV,Oct,2011,14,52,Fall,SynergySP,Unknown,G,6455.0,6365,5224,33,277,3406,412
Papa no Iukoto wo Kikinasai!,7.33,"['Comedy', 'Romance', 'Slice of Life']","Listen to Me, Girls. I Am Your Father!",TV,Jan,2012,23,12,Winter,feel.,Light novel,PG,2189.0,914,162399,596,6589,113011,4683
Kuma no Puutarou,6.51,['Comedy'],Kuma no Puutarou,TV,Apr,1995,24,30,Spring,Studio Deen,Unknown,,15195.0,14776,206,0,12,57,49
Hero Hero-kun,6.51,"['Adventure', 'Comedy', 'Game', 'Kids']",Hero Hero-kun,TV,Apr,2000,5,104,Spring,"Studio Flag, Studio Bogey",Manga,PG,14385.0,14111,253,1,17,87,51
Maken-Ki! OVA,6.64,"['Action', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Super Power']",Maken-Ki! OVA,OVA,Mar,2012,24,2,Spring,Xebec,Manga,R,5186.0,2342,46800,36,2498,33293,625
Hoshi no Ko Poron,6.51,['Sci-Fi'],Hoshi no Ko Poron,TV,Apr,1974,5,260,Spring,Unknown,Unknown,PG,14500.0,12666,402,0,25,126,78
Machikado no Märchen,6.25,"['Music', 'Romance']",Machikado no Märchen,OVA,Jul,1984,54,1,Summer,Unknown,Original,PG,7123.0,10140,1147,2,39,266,32
Rinne no Lagrange,6.92,"['Action', 'Sci-Fi', 'Comedy', 'Mecha']",Lagrange:The Flower of Rin-ne,TV,Jan,2012,23,12,Winter,Xebec,Original,PG,3944.0,2010,59610,122,3310,26773,3594
Amagami SS+ Plus,7.44,"['Slice of Life', 'Comedy', 'Romance', 'School']",Amagami SS+ plus,TV,Jan,2012,24,13,Winter,AIC,Visual novel,PG,1754.0,1126,131666,338,4603,95169,2785
Hidamari Sketch x SP,7.79,"['Slice of Life', 'Comedy', 'School', 'Seinen']",Hidamari Sketch x SP,Special,Oct,2011,24,2,Fall,Shaft,4-koma manga,PG,839.0,4503,12387,10,246,8568,130
Hidamari Sketch x Honeycomb,7.94,"['Slice of Life', 'Comedy', 'School', 'Seinen']",Hidamari Sketch x Honeycomb,TV,Oct,2012,24,12,Fall,Shaft,4-koma manga,PG,619.0,3690,19584,155,795,11425,446
Brave 10,6.8,"['Action', 'Adventure', 'Historical', 'Super Power', 'Samurai', 'Seinen']",Brave 10,TV,Jan,2012,24,12,Winter,TMS Entertainment,Manga,R,4421.0,1131,130165,287,6625,82375,7129
Manga Nihonshi,6.51,['Historical'],Manga Nihonshi,TV,Mar,1983,24,52,Spring,Unknown,Unknown,,15427.0,12971,359,0,26,95,54
Ikkitousen: Shuugaku Toushi Keppuuroku,6.65,"['Action', 'Ecchi', 'Martial Arts', 'Super Power', 'School']",Ikkitousen: Shuugaku Toushi Keppuuroku,OVA,Nov,2011,43,1,Fall,Arms,Manga,R,5163.0,4172,14955,4,486,8095,206
Ao no Exorcist: Kuro no Iede,7.31,"['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']",Blue Exorcist:Runaway Kuro,Special,Oct,2011,24,1,Fall,A-1 Pictures,Manga,PG,2293.0,1304,109719,128,1581,87284,426
Ganso Tensai Bakabon,6.26,"['Slice of Life', 'Comedy']",Ganso Tensai Bakabon,TV,Oct,1975,24,103,Fall,Unknown,Unknown,G,7056.0,10975,791,0,49,263,116
Maken Liner 0011 Henshin Seyo!,5.56,"['Action', 'Mecha', 'Sci-Fi']",Maken Liner 0011 Henshin Seyo!,Movie,Jul,1972,50,1,Summer,Toei Animation,Unknown,PG,9522.0,11748,585,1,27,280,44
Akadou Suzunosuke,6.51,"['Adventure', 'Historical']",Akadou Suzunosuke,TV,Apr,1972,24,52,Spring,Unknown,Unknown,PG,13234.0,11810,567,1,20,171,100
Keroro Gunsou: Mushakero Ohirome Sengoku Ranstar Dai Battle,6.56,"['Action', 'Comedy', 'Mecha', 'Parody', 'Samurai', 'Shounen']",Keroro Gunsou: Mushakero Ohirome Sengoku Ranstar Dai Battle,Special,Mar,2008,14,1,Spring,Sunrise,Unknown,PG,5566.0,10165,1131,2,31,583,48
Black★Rock Shooter (TV),6.85,"['Action', 'Drama', 'School', 'Slice of Life']",Black Rock Shooter,TV,Feb,2012,23,8,Winter,"Ordet, SANZIGEN",Other,PG,4229.0,466,302397,2140,9980,198365,13587
Keroro Gunsou: KeroZero Shupattsudayo! Zeninshuugou!,6.86,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Shounen', 'Space']",Keroro Gunsou: KeroZero Shupattsudayo! Zeninshuugou!,Special,Mar,2009,15,1,Spring,Sunrise,Unknown,PG,4198.0,9650,1462,3,46,794,57
Ginga Patrol PJ,6.64,"['Drama', 'Military', 'Sci-Fi', 'Space']",Ginga Patrol PJ,TV,Oct,1982,25,26,Fall,Eiken,Unknown,,5187.0,10822,853,3,27,507,71
Kimi no Iru Machi: Tasogare Kousaten,7.23,"['Drama', 'Romance', 'School', 'Shounen']",Kimi no Iru Machi: Tasogare Kousaten,OVA,Mar,2012,24,2,Spring,Tatsunoko Production,Manga,R,2652.0,2637,37372,66,1440,23166,556
Zero no Tsukaima F,7.52,"['Adventure', 'Magic', 'Romance', 'Ecchi', 'Fantasy']",The Familiar of Zero F,TV,Jan,2012,24,12,Winter,J.C.Staff,Light novel,PG,1508.0,412,333447,1201,8432,273812,5188
A-Channel+smile,7.12,"['Comedy', 'School', 'Seinen', 'Slice of Life']",A-Channel+smile,OVA,Mar,2012,25,2,Spring,Studio Gokumi,4-koma manga,PG,3102.0,3663,19951,16,403,14802,160
Tantei Opera Milky Holmes Dai 2 Maku,7.22,"['Mystery', 'Comedy', 'Super Power']",Detective Opera Milky Holmes 2,TV,Jan,2012,24,12,Winter,"J.C.Staff, Artland",Original,PG,2702.0,4019,16198,68,753,9234,622
"Kono Danshi, Uchuujin to Tatakaemasu.",6.86,"['Action', 'Fantasy', 'Shounen Ai', 'Super Power', 'Supernatural']",This Boy Can Fight Aliens,OVA,Oct,2011,28,1,Fall,CoMix Wave Films,Original,G,4195.0,3459,22300,71,365,14941,215
Micro Teukgongdae Diatron 5,4.74,"['Action', 'Space', 'Mecha', 'Sci-Fi']",Micro Teukgongdae Diatron 5,Movie,Jul,1985,57,1,Summer,Unknown,Unknown,PG,10813.0,11039,784,4,24,445,42
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,7.53,"['Action', 'Sci-Fi', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",Dragon Ball Z Kai:Bring Peace to the Future! Goku's Spirit is Eternal,Special,Aug,2011,23,1,Summer,Toei Animation,Manga,PG,1485.0,2672,36544,56,436,31218,264
Shin Tennis no Ouji-sama,7.56,"['Action', 'Comedy', 'Sports', 'Shounen']",The Prince of Tennis II,TV,Jan,2012,23,13,Winter,"Production I.G, M.S.C",Manga,PG,1400.0,2288,49053,231,1852,35659,1285
.hack//The Movie: Sekai no Mukou ni,7.14,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Mystery', 'Sci-Fi']",.hack//The Movie: Sekai no Mukou ni,Movie,Jan,2012,110,1,Winter,Anima,Game,PG,3028.0,4028,16190,26,273,9647,221
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6.45,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",Digimon Fusion,TV,Oct,2011,25,25,Fall,Toei Animation,Original,PG,6170.0,3581,20923,35,630,14268,815
Happy Kappy Recap,6.51,"['Comedy', 'Fantasy', 'Shoujo']",Happy Kappy Recap,Special,Aug,2011,5,1,Summer,Unknown,Unknown,G,14286.0,13466,303,0,9,165,33
Skyers 5,6.51,"['Action', 'Sci-Fi']",Skyers 5,TV,Oct,1967,24,12,Fall,Unknown,Unknown,G,12085.0,12792,379,0,26,100,85
Hell Target,4.72,"['Space', 'Horror', 'Sci-Fi']",Hell Target,OVA,Jan,1987,50,1,Winter,Unknown,Unknown,R,10831.0,9462,1567,7,43,846,37
Iruka to Shounen,6.51,"['Adventure', 'Kids']",Iruka to Shounen,TV,Jul,1975,15,13,Summer,Eiken,Unknown,PG,14623.0,13897,268,1,12,81,61
Ano Natsu de Matteru,7.49,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Slice of Life']",Waiting in the Summer,TV,Jan,2012,23,12,Winter,J.C.Staff,Original,PG,1605.0,455,306842,1926,12159,186825,9060
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,7.11,"['Action', 'Samurai', 'Historical', 'Drama', 'Shounen']",Rurouni Kenshin:New Kyoto Arc,OVA,Dec,2011,46,2,Winter,Studio Deen,Manga,R,3171.0,3457,22407,37,879,14188,400
UFO Princess Valkyrie: Recap,6.22,"['Comedy', 'Romance', 'Sci-Fi']",UFO Princess Valkyrie: Recap,Special,Aug,2003,45,1,Summer,TNK,Manga,PG,7244.0,9930,1267,0,52,657,61
Yuureisen,5.71,['Supernatural'],The Phantom Ship,Movie,Unknown,Unknown,11,1,Unknown,Unknown,Book,G,9112.0,9617,1469,1,33,970,50
Chibi☆Devi!,6.76,"['Fantasy', 'Shoujo', 'Supernatural']",Chibi☆Devi!,TV,Oct,2011,5,75,Fall,SynergySP,Manga,PG,4633.0,4466,12646,51,1727,4373,2066
Dororo Pilot,5.79,['Action'],Dororo Pilot,Special,Unknown,Unknown,14,1,Unknown,Mushi Production,Unknown,PG,8885.0,7811,3027,1,82,1723,110
Redline Pilot,6.7,"['Cars', 'Sports']",Redline Pilot,Special,Jan,2009,5,1,Winter,Madhouse,Original,PG,4916.0,5498,7534,4,146,5095,95
Recorder to Randoseru Do♪,6.69,"['Comedy', 'School', 'Seinen', 'Slice of Life']",Recorder and Randsell,TV,Jan,2012,3,13,Winter,Seven,4-koma manga,PG,4967.0,2420,43906,21,1814,28448,2302
Sore Ike! Zukkoke Sannin-gumi,6.51,"['Comedy', 'Kids', 'School']",Sore Ike! Zukkoke Sannin-gumi,TV,Apr,2004,25,26,Spring,Nippon Animation,Novel,PG,12209.0,14665,214,0,13,53,55
Sankarea,7.36,"['Comedy', 'Ecchi', 'Horror', 'Romance', 'Shounen', 'Supernatural']",Sankarea:Undying Love,TV,Apr,2012,24,12,Spring,Studio Deen,Manga,R,2074.0,270,464331,2084,20674,318184,12839
Kiss Dum: Omokage,6.03,"['Mecha', 'Military', 'Sci-Fi']",Kiss Dum: Omokage,Special,Sep,2011,12,1,Fall,Satelight,Original,PG,8110.0,10640,920,0,40,434,29
Hello Kitty: Ringo no Mori no Fantasy,5.88,"['Comedy', 'Fantasy', 'Kids']",Hello Kitty: Ringo no Mori no Fantasy,TV,Apr,2006,7,13,Spring,Asahi Production,Unknown,PG,8587.0,11961,537,0,23,257,64
Mamimume★Mogacho,6.51,['Kids'],Mamimume★Mogacho,TV,Jul,2001,25,13,Summer,Unknown,Unknown,PG,15408.0,14143,251,1,13,70,45
Un-Go: Inga-ron,7.6,"['Mystery', 'Supernatural']",UN-GO:Chapter of Inga,Movie,Nov,2011,48,1,Fall,Bones,Novel,R,1285.0,2807,33153,28,521,23888,195
Momotarou Densetsu,6.51,"['Adventure', 'Comedy']",Momotarou Densetsu,TV,Oct,1989,22,51,Fall,Knack Productions,Game,G,15633.0,12724,392,0,24,113,57
Yamatarou Kaeru,6.05,['Kids'],Yamataro Comes Back,OVA,Aug,1986,24,1,Summer,Tezuka Productions,Manga,G,8011.0,11222,723,0,22,459,45
Ad Lib Anime Kenkyuujo,6.51,['Comedy'],Ad Lib Anime Kenkyuujo,TV,Oct,2011,4,38,Fall,Unknown,Original,G,13194.0,10573,945,2,86,159,181
Happyakuyachou Hyouri Kewaishi,6.51,"['Historical', 'Drama']",Happyakuyachou Hyouri Kewaishi,TV,Oct,1990,10,16,Fall,Shin-Ei Animation,Unknown,PG,14288.0,12469,442,3,24,117,59
Sengoku☆Paradise Kiwami,6.07,"['Action', 'Comedy', 'Drama', 'Historical', 'Romance', 'Samurai', 'Shoujo']",Sengoku☆Paradise Kiwami,TV,Oct,2011,3,26,Fall,"Milky Cartoon, LMD",Unknown,PG,7913.0,6593,4768,4,476,841,552
Toradora!: Bentou no Gokui,7.46,"['Slice of Life', 'Comedy', 'Romance', 'School']",Toradora!:Bento Battle,Special,Dec,2011,27,1,Winter,J.C.Staff,Light novel,PG,1713.0,1075,138510,140,1585,116395,509
Sougen no Ko Tenguri,6.09,"['Adventure', 'Historical', 'Kids', 'Drama']",Sougen no Ko Tenguri,Movie,Unknown,Unknown,21,1,Unknown,Shin-Ei Animation,Original,G,7862.0,10711,896,1,21,536,37
Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,6.93,"['Fantasy', 'Magic', 'Music', 'Shoujo']",Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,OVA,Nov,2011,14,1,Fall,Toei Animation,Original,G,3880.0,8878,1972,2,48,1062,72
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.5,"['Sci-Fi', 'Drama']",Steins;Gate:The Movie − Load Region of Déjà Vu,Movie,Apr,2013,90,1,Spring,White Fox,Visual novel,PG,106.0,288,446967,2275,6960,339621,1018
Puu-Neko Shougekijou,6.51,['Comedy'],Puu-Neko Shougekijou,TV,Jun,2011,1,11,Summer,Unknown,Unknown,G,11647.0,13058,346,0,21,92,43
Ganbare! Bokura no Hit and Run,6.51,"['School', 'Sports']",Hit and Run,Special,Feb,1979,70,1,Winter,Nippon Animation,Unknown,G,14068.0,14191,245,0,11,63,57
Perman (1983),6.41,"['Kids', 'Comedy', 'Super Power', 'School']",Superkid (1983),TV,Apr,1983,12,526,Spring,Shin-Ei Animation,Unknown,PG,6341.0,8753,2087,15,98,1297,318
Nisemonogatari,8.18,"['Mystery', 'Comedy', 'Supernatural', 'Ecchi']",Nisemonogatari,TV,Jan,2012,24,11,Winter,Shaft,Light novel,R,325.0,195,572431,3688,21394,428713,5869
"Sono Toki, Shimakou ga Ugoita!",6.51,['Comedy'],At that time Mr. Shimakoh moved!,TV,Jun,2011,3,11,Summer,DLE,Unknown,PG,12118.0,13360,312,0,20,83,50
Shuukan Shimakou Special,6.51,['Comedy'],Shuukan Shimakou Special,ONA,Jan,2011,2,1,Winter,Unknown,Unknown,PG,12088.0,14295,239,0,12,92,31
Morita-san wa Mukuchi. 2,6.68,"['Comedy', 'School', 'Slice of Life']",Morita-san wa Mukuchi. 2,TV,Oct,2011,3,13,Fall,Seven,4-koma manga,PG,5009.0,4598,11801,5,341,8921,207
High School DxD,7.4,"['Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School']",High School DxD,TV,Jan,2012,24,12,Winter,TNK,Light novel,R,1900.0,68,995532,19056,34261,812823,34031
Donbe Monogatari,6.51,['Kids'],Donbe Monogatari,Special,Apr,1981,72,1,Spring,Eiken,Unknown,G,13840.0,14436,228,0,8,77,46
Blood Lad,7.33,"['Action', 'Comedy', 'Demons', 'Seinen', 'Supernatural', 'Vampire']",Blood Lad,TV,Jul,2013,24,10,Summer,Brain's Base,Manga,PG,2207.0,217,535363,1963,23487,377208,18724
Sacred Seven: Shirogane no Tsubasa,6.68,"['Action', 'School', 'Sci-Fi', 'Super Power']",Sacred Seven:Wings of the Silver Moon,Movie,Jan,2012,60,1,Winter,Sunrise,Original,PG,5020.0,6165,5661,4,156,2688,86
Pink Mizu Dorobou Ame Dorobou,5.58,"['Action', 'Comedy', 'Fantasy', 'Shounen']",Pink:Water Thieves Rain Thieves,Movie,Jul,1990,30,1,Summer,Toei Animation,Manga,PG,9493.0,10081,1186,0,35,570,64
Robo to Shoujo (Kari),5.57,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",Robo to Shoujo (Kari),ONA,Jun,2010,1,9,Summer,Unknown,Unknown,PG,9492.0,9290,1671,1,60,915,64
Hakuouki OVA,7.45,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai']",Hakuouki OVA,OVA,Unknown,Unknown,8,2,Unknown,Studio Deen,Visual novel,PG,1744.0,4571,11926,24,284,7198,136
Natsume Yuujinchou Shi,8.67,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",Natsume's Book of Friends Season 4,TV,Jan,2012,24,13,Winter,Brain's Base,Manga,PG,47.0,774,193052,1814,7137,114646,1812
Hal no Fue,6.51,"['Kids', 'Adventure']",Hal's Flute,Movie,Oct,2011,50,1,Fall,TMS Entertainment,Unknown,G,14245.0,13264,324,0,13,62,42
Chainsaw Maid,4.96,"['Comedy', 'Horror', 'Supernatural', 'Thriller']",Chainsaw Maid,ONA,Dec,2007,6,1,Winter,Unknown,Original,R,10615.0,6501,4939,3,31,4376,59
Takarajima Memorial: Yuunagi to Yobareta Otoko,6.55,"['Adventure', 'Drama', 'Historical', 'Mystery', 'Supernatural']",Takarajima Memorial: Yuunagi to Yobareta Otoko,OVA,Unknown,Unknown,7,1,Unknown,Madhouse,Novel,G,5614.0,10137,1154,1,40,778,32
Pussycat,4.18,"['Fantasy', 'Horror']",Pussycat,ONA,Dec,2008,5,1,Winter,Unknown,Original,R,10968.0,6968,4145,3,30,3713,44
CCW: Crazy Clay Wrestling,3.52,['Sports'],CCW: Crazy Clay Wrestling,ONA,Dec,2007,6,1,Winter,Unknown,Original,PG,11012.0,8750,2062,4,14,1848,49
Bloody Date,4.19,['Horror'],Bloody Date,ONA,Unknown,Unknown,5,1,Unknown,Unknown,Original,R,10966.0,7509,3387,0,20,2941,53
Match Uri no Shoujo,6.03,"['Drama', 'Kids']",The Little Match Girl,Movie,Dec,1971,18,1,Winter,Toei Animation,Book,G,8120.0,11993,529,0,15,303,46
Ultraman Graffiti,6.51,"['Action', 'Comedy', 'Parody', 'Super Power']",Ultraman Graffiti,OVA,Oct,1990,8,6,Fall,Unknown,Other,G,12697.0,12567,420,0,23,141,76
Area no Kishi,7.22,"['Comedy', 'School', 'Shounen', 'Sports']",The Knight in the Area,TV,Jan,2012,25,37,Winter,Shin-Ei Animation,Manga,PG,2671.0,2005,59931,231,4725,33902,5588
Yurumates wa?,6.28,"['Comedy', 'Seinen', 'Slice of Life']",Yurumates wa?,OVA,Jun,2011,35,1,Summer,Unknown,4-koma manga,PG,6982.0,8477,2315,0,59,1517,49
Another: The Other - Inga,7.32,"['Horror', 'Mystery', 'Thriller']",Another:The Other,OVA,May,2012,24,1,Spring,P.A. Works,Novel,R,2232.0,966,152735,184,1349,130704,431
Code:Breaker,6.8,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'School', 'Shounen']",Code:Breaker,TV,Oct,2012,24,13,Fall,Kinema Citrus,Manga,R,4440.0,568,257812,651,12885,167779,14931
Dragon Age: Blood Mage no Seisen,6.11,"['Action', 'Fantasy']",Dragon Age:Dawn of the Seeker,Movie,Feb,2012,89,1,Winter,Oxybot,Game,R,7738.0,5165,8700,11,151,5309,166
Kamisama Dolls Specials,5.93,['Comedy'],Kamisama Dolls Specials,Special,Sep,2011,2,6,Fall,Brain's Base,Manga,PG,8447.0,5913,6248,1,257,3724,175
Hoshi no Kirby: Pilot,5.69,"['Adventure', 'Comedy', 'Parody', 'Fantasy']",Hoshi no Kirby: Pilot,Special,Unknown,Unknown,4,1,Unknown,Unknown,Game,G,9178.0,9247,1703,5,23,1272,34
Space Neko Theater,5.33,['Comedy'],Space Neko Theater,ONA,Dec,2008,8,1,Winter,Unknown,Unknown,PG,10088.0,10812,855,0,21,671,29
Chi-Sui Maru 2nd Season,6.51,['Comedy'],Chi-Sui Maru 2nd Season,TV,Jan,2011,5,34,Winter,Unknown,Unknown,G,13586.0,13828,269,0,21,70,64
Coluboccoro,5.64,"['Sci-Fi', 'Fantasy']",Coluboccoro,OVA,Unknown,Unknown,29,1,Unknown,Kenji Studio,Original,G,9323.0,9080,1835,2,44,1187,40
