Name,Score,Genres,English name,Type,Month Aired,Year Aired,Duracion_min,Episodes,Premiered,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Cowboy Bebop,8.78,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Cowboy Bebop,TV,Apr,1998,24,26,Spring,Sunrise,Original,R,28.0,39,1251960,61971,105808,718161,26678
Cowboy Bebop: Tengoku no Tobira,8.39,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Cowboy Bebop:The Movie,Movie,Sep,2001,115,1,Fall,Bones,Original,R,159.0,518,273145,1174,4143,208333,770
Trigun,8.24,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",Trigun,TV,Apr,1998,24,26,Spring,Madhouse,Manga,PG,266.0,201,558913,12944,29113,343492,13925
Witch Hunter Robin,7.27,"['Action', 'Mystery', 'Police', 'Supernatural', 'Drama', 'Magic']",Witch Hunter Robin,TV,Jul,2002,25,26,Summer,Sunrise,Original,PG,2481.0,1467,94683,587,4300,46165,5378
Bouken Ou Beet,6.98,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",Beet the Vandel Buster,TV,Sep,2004,23,52,Fall,Toei Animation,Manga,PG,3710.0,4369,13224,18,642,7314,1108
Eyeshield 21,7.95,"['Action', 'Sports', 'Comedy', 'Shounen']",Eyeshield 21,TV,Apr,2005,23,145,Spring,Gallop,Manga,PG,604.0,1003,148259,2066,13907,78349,11573
Hachimitsu to Clover,8.06,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",Honey and Clover,TV,Apr,2005,23,24,Spring,J.C.Staff,Manga,PG,468.0,687,214499,4101,11909,81145,11026
Hungry Heart: Wild Striker,7.59,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",Hungry Heart: Wild Striker,TV,Sep,2002,23,52,Fall,Nippon Animation,Manga,PG,1317.0,3612,20470,231,817,13778,1168
Initial D Fourth Stage,8.15,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",Initial D Fourth Stage,TV,Apr,2004,27,24,Spring,A.C.G.T.,Manga,PG,360.0,1233,117929,979,6082,90967,1356
Monster,8.76,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",Monster,TV,Apr,2004,24,74,Spring,Madhouse,Manga,R,30.0,169,614100,29436,64648,214491,23008
Naruto,7.91,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Naruto,TV,Oct,2002,23,220,Fall,Studio Pierrot,Manga,PG,660.0,8,1830540,65586,137167,1462223,99806
One Piece,8.52,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",One Piece,TV,Oct,1999,24,Unknown,Fall,Toei Animation,Manga,PG,95.0,31,1352724,126645,887333,33,136245
Tennis no Ouji-sama,7.9,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",The Prince of Tennis,TV,Oct,2001,22,178,Fall,Trans Arts,Manga,PG,675.0,1039,141832,3124,11235,76881,12516
Ring ni Kakero 1,6.38,"['Action', 'Shounen', 'Sports']",Ring ni Kakero 1,TV,Oct,2004,25,12,Fall,Toei Animation,Manga,PG,6493.0,7333,3648,16,170,1333,296
School Rumble,7.94,"['Comedy', 'Romance', 'School', 'Shounen']",School Rumble,TV,Oct,2004,23,26,Fall,Studio Comet,Manga,PG,625.0,514,275464,5137,12277,157789,13491
Sunabouzu,7.42,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",Desert Punk,TV,Oct,2004,24,24,Fall,Gonzo,Manga,R,1844.0,1284,111734,790,6273,53819,7951
Texhnolyze,7.76,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",Texhnolyze,TV,Apr,2003,23,22,Spring,Madhouse,Original,R,896.0,823,182599,3671,11335,47532,8112
Trinity Blood,7.32,"['Action', 'Supernatural', 'Vampire']",Trinity Blood,TV,Apr,2005,24,24,Spring,Gonzo,Light novel,R,2240.0,936,158343,1479,7794,87958,9349
Yakitate!! Japan,7.95,"['Comedy', 'Shounen']",Yakitate!! Japan,TV,Oct,2004,24,69,Fall,Sunrise,Manga,PG,609.0,1666,80183,887,5007,39992,4633
Zipang,7.51,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",Zipang,TV,Oct,2004,24,26,Fall,Studio Deen,Manga,PG,1565.0,3985,16652,152,857,6807,599
Neon Genesis Evangelion,8.32,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Neon Genesis Evangelion,TV,Oct,1995,24,26,Fall,"Gainax, Tatsunoko Production",Original,PG,208.0,54,1160651,71308,66549,815938,20358
Neon Genesis Evangelion: Death & Rebirth,7.45,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Neon Genesis Evangelion:Death & Rebirth,Movie,Mar,1997,104,1,Spring,"Gainax, Production I.G",Original,R,1742.0,833,180681,588,1941,146202,961
Neon Genesis Evangelion: The End of Evangelion,8.51,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Neon Genesis Evangelion:The End of Evangelion,Movie,Jul,1997,87,1,Summer,"Gainax, Production I.G",Original,R,102.0,195,572080,17811,8055,482918,1499
Kenpuu Denki Berserk,8.49,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",Berserk,TV,Oct,1997,25,25,Fall,OLM,Manga,R,108.0,301,432190,18567,19540,276588,9406
Koukaku Kidoutai,8.29,"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']",Ghost in the Shell,Movie,Nov,1995,82,1,Fall,Production I.G,Manga,R,236.0,265,468279,10362,8152,325682,1927
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",Samurai X:Trust and Betrayal,OVA,Feb,1999,30,4,Winter,Studio Deen,Manga,R,37.0,637,228484,6111,6359,150183,1836
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",Rurouni Kenshin,TV,Jan,1996,25,94,Winter,"Gallop, Studio Deen",Manga,PG,220.0,345,386195,11236,29540,216154,18588
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"['Samurai', 'Historical', 'Drama', 'Shounen']",Samurai X:The Motion Picture,Movie,Dec,1997,91,1,Winter,Gallop,Manga,R,1397.0,2411,44334,107,547,34481,228
Akira,8.17,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",AKIRA,Movie,Jul,1988,124,1,Summer,Tokyo Movie Shinsha,Manga,R,333.0,197,566538,9555,8258,434086,2174
.hack//Sign,6.98,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",.hack//Sign,TV,Apr,2002,24,26,Spring,Bee Train,Original,PG,3687.0,940,158227,1359,6733,91528,11881
Aa! Megami-sama!,7.32,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",Oh! My Goddess,OVA,Feb,1993,30,5,Winter,AIC,Manga,PG,2226.0,2360,46428,267,993,34581,894
Aa! Megami-sama! (TV),7.35,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",Ah! My Goddess,TV,Jan,2005,24,24,Winter,AIC,Manga,PG,2116.0,1083,135747,1124,5841,85884,7971
Tenshi Kinryouku,6.31,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",Angel Sanctuary,OVA,May,2000,30,3,Spring,Hal Film Maker,Manga,R,6823.0,2419,43960,215,812,32981,1311
Kidou Tenshi Angelic Layer,7.26,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",Battle Doll Angelic Layer,TV,Apr,2001,24,26,Spring,Bones,Manga,PG,2529.0,2232,51022,290,1653,32978,2852
Ai Yori Aoshi,7.14,"['Harem', 'Slice of Life', 'Comedy', 'Drama', 'Romance']",Ai Yori Aoshi,TV,Apr,2002,23,24,Spring,J.C.Staff,Manga,PG,3012.0,1465,94793,458,4111,60075,5814
Appleseed (Movie),7.1,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Appleseed (Movie),Movie,Apr,2004,105,1,Spring,Digital Frontier,Manga,R,3206.0,1901,65139,173,787,52100,489
Arc the Lad,6.53,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",Arc the Lad,TV,Apr,1999,22,26,Spring,Bee Train,Game,R,5738.0,4259,14187,17,581,7032,910
Avenger,5.91,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",Avenger,TV,Oct,2003,24,13,Fall,"Bee Train, Xebec",Original,R,8501.0,4073,15779,21,617,7906,1255
Beck,8.31,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",Beck:Mongolian Chop Squad,TV,Oct,2004,25,26,Fall,Madhouse,Manga,R,221.0,570,255668,7038,10580,133432,8488
Blue Gender,7.05,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",Blue Gender,TV,Oct,1999,23,26,Fall,AIC,Original,R,3455.0,1886,65360,389,2738,31583,3195
Chobits,7.43,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",Chobits,TV,Apr,2002,24,26,Spring,Madhouse,Manga,PG,1804.0,332,402646,3859,15294,272425,22409
Chrno Crusade,7.66,"['Action', 'Demons', 'Historical', 'Romance', 'Shounen', 'Supernatural']",Chrono Crusade,TV,Nov,2003,23,24,Fall,Gonzo,Manga,R,1120.0,742,198007,2064,8228,117484,9842
D.N.Angel,7.2,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",D.N.Angel,TV,Apr,2003,23,26,Spring,Xebec,Manga,PG,2761.0,891,167615,1523,5183,117045,11057
D.C.: Da Capo,6.77,"['Harem', 'Drama', 'Magic', 'Romance']",D.C.~Da Capo~,TV,Jul,2003,24,26,Summer,"feel., Zexcs",Visual novel,PG,4589.0,1852,67491,189,3024,36037,3852
DearS,6.62,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",DearS,TV,Jul,2004,23,12,Summer,Daume,Manga,R,5274.0,1146,128788,391,3766,95113,5507
Rozen Maiden,7.44,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",Rozen Maiden,TV,Oct,2004,24,12,Fall,Nomad,Manga,PG,1782.0,846,176775,2074,5599,113914,7852
Rozen Maiden: Träumend,7.65,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",Rozen Maiden:Träumend,TV,Oct,2005,24,12,Fall,Nomad,Manga,PG,1146.0,1479,93768,516,2006,73523,1647
Azumanga Daioh,7.98,"['Slice of Life', 'Comedy', 'School']",Azumanga Daioh:The Animation,TV,Apr,2002,24,26,Spring,J.C.Staff,4-koma manga,PG,555.0,554,262980,5181,13747,143431,13115
Basilisk: Kouga Ninpou Chou,7.58,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",Basilisk,TV,Apr,2005,24,24,Spring,Gonzo,Manga,R,1325.0,940,156661,1467,6964,82153,6957
Black Cat (TV),7.38,"['Sci-Fi', 'Adventure', 'Comedy', 'Super Power', 'Shounen']",Black Cat,TV,Oct,2005,24,23,Fall,Gonzo,Manga,PG,1965.0,622,231668,1955,10510,142921,11003
Cluster Edge,6.35,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",Cluster Edge,TV,Oct,2005,24,25,Fall,Sunrise,Original,PG,6646.0,5061,9299,13,500,3068,942
Full Metal Panic!,7.65,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",Full Metal Panic!,TV,Jan,2002,24,24,Winter,Gonzo,Light novel,R,1146.0,322,411230,4417,17458,264665,13806
Full Metal Panic? Fumoffu,8.07,"['Action', 'Comedy', 'School']",Full Metal Panic? Fumoffu,TV,Aug,2003,24,12,Summer,Kyoto Animation,Light novel,PG,452.0,571,254465,2988,5383,204041,3533
Full Metal Panic! The Second Raid,7.96,"['Action', 'Military', 'Mecha']",Full Metal Panic! The Second Raid,TV,Jul,2005,24,13,Summer,Kyoto Animation,Light novel,R,579.0,639,227927,1358,4667,177524,2271
Gakuen Alice,7.65,"['Comedy', 'School', 'Shoujo', 'Super Power']",Gakuen Alice,TV,Oct,2004,25,26,Fall,Group TAC,Manga,G,1158.0,1640,81446,1613,2495,57369,2916
Soukyuu no Fafner: Dead Aggressor,7.3,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Fafner of the Blue Sky,TV,Jul,2004,24,25,Summer,Xebec,Original,PG,2348.0,2523,40602,255,2179,16417,1987
Mahou Shoujo Lyrical Nanoha,7.42,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",Magical Girl Lyrical Nanoha,TV,Oct,2004,25,13,Fall,Seven Arcs,Original,PG,1828.0,1550,88890,1036,3287,47731,2625
Mahou Shoujo Lyrical Nanoha A's,7.99,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",Magical Girl Lyrical Nanoha A's,TV,Oct,2005,25,13,Fall,Seven Arcs,Original,PG,551.0,2075,56981,1014,1367,40165,828
Shuffle!,7.09,"['Harem', 'Comedy', 'Drama', 'Magic', 'Romance', 'Ecchi', 'Fantasy', 'School', 'Seinen']",Shuffle!,TV,Jul,2005,23,24,Summer,Asread,Visual novel,R,3231.0,600,240751,1572,10943,151944,13227
Mobile Suit Gundam,7.78,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",Mobile Suit Gundam,TV,Apr,1979,25,43,Spring,Sunrise,Original,PG,867.0,1427,97216,1787,7737,52669,3100
Mobile Suit Gundam: The 08th MS Team,8.03,"['Adventure', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi']",Mobile Suit Gundam:The 08th MS Team,OVA,Jan,1996,25,12,Winter,Sunrise,Original,PG,511.0,1948,62655,911,2405,43537,794
Mobile Suit Gundam 0080: War in the Pocket,7.9,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam 0080:War in the Pocket,OVA,Mar,1989,27,6,Spring,Sunrise,Original,PG,677.0,2444,43308,717,978,30112,392
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,Aug,1998,52,1,Summer,Sunrise,Original,PG,4498.0,4660,11460,3,149,8314,136
Mobile Suit Gundam 0083: Stardust Memory,7.3,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",Mobile Suit Gundam 0083:Stardust Memory,OVA,May,1991,30,13,Spring,Sunrise,Original,PG,2361.0,2791,33687,230,977,24492,448
Mobile Suit Zeta Gundam,7.92,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",Mobile Suit Zeta Gundam,TV,Mar,1985,24,50,Spring,Sunrise,Original,PG,655.0,2159,53822,1721,3912,32798,1049
Mobile Suit Gundam ZZ,6.66,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",Mobile Suit Gundam ZZ,TV,Mar,1986,24,47,Spring,Sunrise,Original,PG,5111.0,2941,30758,130,1647,18408,917
Mobile Suit Gundam: Char's Counterattack,7.68,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam:Char's Counterattack,Movie,Mar,1988,119,1,Spring,"Sunrise, Studio Hibari",Novel,PG,1084.0,2773,34221,293,437,25957,171
Mobile Suit Gundam F91,6.67,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Mobile Suit Gundam F91,Movie,Mar,1991,120,1,Spring,Sunrise,Unknown,PG,5049.0,3387,23161,63,357,16731,193
Mobile Suit Victory Gundam,6.76,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Mobile Suit V Gundam,TV,Apr,1993,24,51,Spring,"Sunrise, Studio Deen",Original,PG,4632.0,3588,20794,95,1225,10068,628
Mobile Suit Gundam Wing,7.72,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Mobile Suit Gundam Wing,TV,Apr,1995,24,49,Spring,Sunrise,Original,PG,984.0,1118,132208,2538,5922,95155,4411
Mobile Suit Gundam Wing: Endless Waltz,7.76,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Mobile Suit Gundam Wing:Endless Waltz,OVA,Jan,1997,30,3,Winter,Sunrise,Original,PG,897.0,2512,41030,221,500,34369,250
After War Gundam X,7.32,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",After War Gundam X,TV,Apr,1996,24,39,Spring,Sunrise,Original,PG,2228.0,3043,28862,189,1554,15987,983
Mobile Suit Gundam SEED,7.79,"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",Mobile Suit Gundam SEED,TV,Oct,2002,24,50,Fall,Sunrise,Original,R,850.0,1057,140346,3584,4898,101920,5021
Mobile Suit Gundam SEED Destiny,7.22,"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",Mobile Suit Gundam SEED Destiny,TV,Oct,2004,24,50,Fall,Sunrise,Original,R,2687.0,1530,90208,1206,2210,70845,2749
Turn A Gundam,7.7,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",∀ Gundam,TV,Apr,1999,24,50,Spring,"Sunrise, Nakamura Production",Original,PG,1018.0,2714,35670,760,2378,14651,1448
Mobile Fighter G Gundam,7.56,"['Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Mecha', 'Romance', 'Sci-Fi', 'Space', 'Sports']",Mobile Fighter G Gundam,TV,Apr,1994,24,49,Spring,Sunrise,Original,PG,1396.0,2109,55463,896,2499,38653,1607
Last Exile,7.82,"['Action', 'Sci-Fi', 'Adventure']",Last Exile,TV,Apr,2003,24,26,Spring,Gonzo,Original,PG,795.0,995,149528,1848,5943,77235,5038
Mai-HiME,7.46,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",My-Hime,TV,Sep,2004,23,26,Fall,Sunrise,Original,PG,1698.0,1381,101495,1262,3442,60321,4215
Mai-Otome,7.31,"['Comedy', 'Drama', 'Fantasy', 'Magic']",My-Otome,TV,Oct,2005,24,26,Fall,Sunrise,Original,PG,2308.0,2370,46018,333,1147,31335,1598
Shin Shirayuki-hime Densetsu Prétear,7.2,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'Super Power']",Prétear:The New Legend of Snow White,TV,Apr,2001,23,13,Spring,Hal Film Maker,Manga,PG,2785.0,2162,53508,457,1607,33827,1760
Air,7.32,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",Air,TV,Jan,2005,24,12,Winter,Kyoto Animation,Visual novel,PG,2230.0,563,259381,2704,7367,170036,9992
Aishiteruze Baby★★,7.48,"['Comedy', 'Drama', 'Romance', 'Shoujo']",Aishiteruze Baby★★,TV,Apr,2004,25,26,Spring,TMS Entertainment,Manga,PG,1634.0,1529,89533,571,3772,59770,4946
Akazukin Chacha,7.39,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",Red Riding Hood Chacha,TV,Jan,1994,24,74,Winter,Gallop,Manga,G,1941.0,4551,12006,88,691,5140,994
Ayashi no Ceres,7.23,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']","Ceres, Celestial Legend",TV,Apr,2000,21,24,Spring,Studio Pierrot,Manga,R,2641.0,2182,53189,535,2099,31162,3400
Boys Be...,6.46,"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",Boys Be...,TV,Apr,2000,23,13,Spring,Hal Film Maker,Manga,PG,6088.0,3665,20032,41,768,10371,1385
Hana yori Dango,7.7,"['Drama', 'Romance', 'School', 'Shoujo']",Hana Yori Dango,TV,Sep,1996,25,51,Fall,Toei Animation,Manga,PG,1027.0,2293,48623,762,2502,25257,2974
Ou Dorobou Jing,7.23,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",Jing:King of Bandits,TV,May,2002,24,13,Spring,Studio Deen,Manga,PG,2625.0,2817,32988,210,1343,16532,1714
Ou Dorobou Jing in Seventh Heaven,7.29,"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",Jing:King of Bandits - Seventh Heaven,OVA,Jan,2004,30,3,Winter,Studio Deen,Manga,PG,2367.0,4619,11591,29,283,7309,159
Bakuretsu Tenshi,6.81,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",Burst Angel,TV,Apr,2004,23,24,Spring,Gonzo,Original,PG,4381.0,1965,62106,257,2789,34321,4492
Chuuka Ichiban!,7.63,"['Action', 'Comedy', 'Drama', 'Shounen']",Chuuka Ichiban!,TV,Apr,1997,23,52,Spring,Nippon Animation,Manga,PG,1195.0,4086,15608,107,990,8203,817
Corrector Yui,6.83,"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",Corrector Yui,TV,Apr,1999,25,52,Spring,Nippon Animation,Original,PG,4318.0,4519,12222,50,463,6825,963
Chou Henshin Cosprayers,4.95,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",The Cosmopolitan Prayers,TV,Jan,2004,14,8,Winter,"Imagin, Studio Live",Original,PG,10648.0,5542,7392,5,269,3567,568
Uchuu no Stellvia,7.38,"['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']",Stellvia,TV,Apr,2003,23,26,Spring,Xebec,Original,PG,1980.0,3577,20924,127,820,10722,960
Sakigake!! Cromartie Koukou,7.93,"['Comedy', 'School', 'Shounen']",Cromartie High School,TV,Oct,2003,12,26,Fall,Production I.G,Manga,PG,631.0,1279,112001,1561,8242,49634,5164
El Hazard: The Alternative World,6.83,"['Adventure', 'Comedy', 'Fantasy']",El Hazard: The Alternative World,TV,Jan,1998,25,13,Winter,AIC,Original,PG,4315.0,4961,9684,10,275,6251,352
El Hazard: The Wanderers,6.97,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",El-Hazard:The Wanderers,TV,Oct,1995,23,26,Fall,AIC,Original,PG,3735.0,4198,14603,35,613,8190,667
El Hazard: The Magnificent World,7.32,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",El Hazard: The Magnificent World,OVA,May,1995,34,7,Spring,AIC,Original,PG,2240.0,4129,15406,91,521,9059,352
El Hazard 2: The Magnificent World,6.85,"['Adventure', 'Comedy', 'Fantasy']",El Hazard 2: The Magnificent World,OVA,Mar,1997,30,4,Spring,AIC,Original,PG,4239.0,5421,7745,5,163,5472,120
Final Approach,6.56,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",Final Approach,TV,Oct,2004,14,13,Fall,Zexcs,Visual novel,PG,5567.0,2887,31774,48,958,21798,1088
Fruits Basket,7.69,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",Fruits Basket,TV,Jul,2001,24,26,Summer,Studio Deen,Manga,PG,1058.0,314,420919,9504,15410,297921,16709
Fullmetal Alchemist,8.17,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Fullmetal Alchemist,TV,Oct,2003,24,51,Fall,Bones,Manga,PG,337.0,52,1151621,26564,52738,880215,38693
Full Moon wo Sagashite,7.96,"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",Searching for the Full Moon,TV,Apr,2002,24,52,Spring,Studio Deen,Manga,PG,585.0,1519,90884,1823,3807,51760,5484
Fushigi Yuugi,7.64,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",Mysterious Play,TV,Apr,1995,23,52,Spring,Studio Pierrot,Manga,PG,1172.0,1434,96861,2277,5124,53674,5964
Fushigi Yuugi: Eikouden,6.86,"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Shoujo']",Mysterious Play:Eikoden,OVA,Dec,2001,30,4,Winter,Studio Pierrot,Manga,PG,4189.0,4101,15576,69,257,11630,218
Futakoi,6.49,"['Comedy', 'Romance', 'School']",Twin Love,TV,Oct,2004,24,13,Fall,Telecom Animation Film,Original,PG,5946.0,2900,31358,22,1052,19836,1485
Futakoi Alternative,6.91,"['Comedy', 'Drama', 'Romance']",Futakoi Alternative,TV,Apr,2005,24,13,Spring,"ufotable, feel., Studio Flag",Original,PG,3968.0,3071,28297,71,1073,13965,1565
Gate Keepers,6.96,"['Action', 'Sci-Fi', 'Comedy', 'Fantasy', 'Mecha', 'Shounen']",Gate Keepers,TV,Apr,2000,25,24,Spring,Gonzo,Game,PG,3767.0,3717,19351,59,726,11013,1182
Gate Keepers 21,6.79,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",Gate Keepers 21,OVA,Apr,2002,30,6,Spring,Gonzo,Game,PG,4489.0,5026,9399,23,216,5904,273
Gensoumaden Saiyuuki,7.59,"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Shounen', 'Supernatural']",Saiyuki,TV,Apr,2000,23,50,Spring,Studio Pierrot,Manga,R,1315.0,2359,46228,833,2628,22100,3069
Saiyuuki Reload,7.41,"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Josei', 'Supernatural']",Saiyuki Reload,TV,Oct,2003,23,25,Fall,Studio Pierrot,Manga,PG,1858.0,3071,28277,116,1224,15616,1189
Saiyuuki Reload Gunlock,7.42,"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Josei', 'Supernatural']",Saiyuki Gunlock,TV,Apr,2004,24,26,Spring,Studio Pierrot,Manga,PG,1840.0,3724,19393,51,728,10446,519
GetBackers,7.61,"['Action', 'Comedy', 'Drama', 'Mystery', 'Shounen', 'Super Power', 'Supernatural']",Getbackers,TV,Oct,2002,24,49,Fall,Studio Deen,Manga,PG,1249.0,1339,105139,911,5642,55921,7436
Green Green,6.21,"['Comedy', 'Ecchi', 'Romance', 'School', 'Slice of Life']",Green Green,TV,Jul,2003,24,12,Summer,Studio Matrix,Visual novel,R,7303.0,1333,106208,263,2671,79017,5446
Gunslinger Girl,7.42,"['Action', 'Psychological', 'Military', 'Drama', 'Sci-Fi']",Gunslinger Girl,TV,Oct,2003,24,13,Fall,Madhouse,Manga,R,1821.0,920,161010,1140,6742,82948,8160
Hikaru no Go,8.11,"['Comedy', 'Game', 'Shounen', 'Supernatural']",Hikaru no Go,TV,Oct,2001,23,75,Fall,Studio Pierrot,Manga,PG,400.0,1287,111164,2186,5480,62705,6700
Hunter x Hunter,8.42,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",Hunter x Hunter,TV,Oct,1999,23,62,Fall,Nippon Animation,Manga,PG,143.0,319,416227,9525,28061,260968,15100
Hunter x Hunter: Original Video Animation,8.33,"['Action', 'Adventure', 'Super Power', 'Shounen']",Hunter x Hunter: Original Video Animation,OVA,Jan,2002,24,8,Winter,Nippon Animation,Manga,PG,205.0,1375,101579,408,2115,80683,776
